user_id,article_1,article_2,article_3,article_4,article_5
200098,286161,270607,288320,283009,158882
200099,48403,289090,288440,119193,277492
200100,336220,111043,234006,235616,183176
200101,41922,363291,362001,42823,42685
200102,156560,284547,235230,129029,272143
200103,201888,242185,201750,67021,233541
200104,64329,198659,96210,166581,288440
200105,336223,31836,303180,119193,293050
200106,218028,209236,20691,95716,64329
200107,71432,133160,288320,30420,31836
200108,199198,20691,175040,166581,336245
200109,300128,298310,300473,300923,350594
200110,338340,293114,123826,293062,272143
200111,199197,336223,336221,235870,235230
200112,156560,70428,156964,160417,162765
200113,300263,123909,214800,299152,272143
200114,123290,123818,124177,123289,124352
200115,156560,162765,337890,272143,158536
200116,156560,160417,158536,301008,294122
200117,235870,300082,199197,64409,95716
200118,272143,64329,198659,298041,166581
200119,156560,272143,235230,160417,284547
200120,168623,30909,235870,336221,300082
200121,289090,234698,198659,64329,277492
200122,31836,95716,160939,119193,123909
200123,313431,187065,129029,235230,284547
200124,156560,160417,166581,20691,336245
200125,123290,123818,124352,124350,124177
200126,286161,331116,199197,168623,165988
200127,160417,156619,156624,272143,64329
200128,288440,95716,235870,199198,175040
200129,160417,272143,156619,199197,64329
200130,158536,162655,156624,218337,64329
200131,272143,25325,313431,168623,111210
200132,199197,284547,313431,70646,336254
200133,313431,187065,129029,235230,284547
200134,283009,336223,245161,234698,270607
200135,20691,95716,198659,64329,234698
200136,160417,313920,236566,283764,225010
200137,271262,235870,20691,119193,48403
200138,156560,198659,199198,199197,64329
200139,206168,70646,235230,313431,284547
200140,235524,235616,160974,160417,158536
200141,336245,288440,199197,156560,336221
200142,106442,309540,315088,198659,64329
200143,160974,160417,158536,199198,272143
200144,64329,124748,199198,162655,166585
200145,160417,272143,233717,289126,257291
200146,283220,332041,232955,331780,229265
200147,234698,95716,214709,235870,336223
200148,160974,160417,158536,199198,272143
200149,320775,321069,317804,319687,317824
200150,59057,271261,284985,234698,48403
200151,199197,129029,48403,289126,168623
200152,324823,272143,299767,300755,348111
200153,331116,156560,202355,158536,160974
200154,59057,336223,303180,48403,95716
200155,161602,237524,197151,207994,198659
200156,214800,123757,156560,111210,276946
200157,276970,168623,237524,336476,233717
200158,202355,156560,289003,283009,199198
200159,159762,289126,285719,272143,175040
200160,70591,128260,202534,202289,354086
200161,206735,202381,42959,202635,354067
200162,163395,61913,61966,62747,62748
200163,293114,64329,284547,198659,156560
200164,324823,198659,64329,199198,166581
200165,166581,175040,198659,162655,324823
200166,124748,123826,336221,293050,124350
200167,64329,166581,224658,182394,162655
200168,158536,199198,156560,64329,160974
200169,123290,123818,336221,336245,303680
200170,64329,272143,336221,119193,48403
200171,237870,168623,293301,214800,276970
200172,156624,199197,156619,272143,235230
200173,324823,272143,299767,300755,348111
200174,221711,353874,30576,283123,107187
200175,156560,162765,337890,272143,158536
200176,198659,64329,166581,224658,162655
200177,272143,198659,182394,64329,224658
200178,156560,161801,198659,199198,199197
200179,183176,96210,235854,128260,20691
200180,303686,304788,304487,303781,303252
200181,283123,234051,357715,103210,42356
200182,293301,337192,277492,95977,272143
200183,156560,161506,162765,337890,161801
200184,64329,162655,156560,198659,199198
200185,4983,293331,4772,4767,4715
200186,161801,87174,182513,215674,235652
200187,199197,156560,198659,199198,64329
200188,285343,278312,286161,284547,120532
200189,20691,96210,30374,332198,233742
200190,50864,50715,50383,68577,61582
200191,59057,124350,124748,235870,48403
200192,336221,235870,156964,156560,284547
200193,272143,199197,158536,160417,175040
200194,156560,162765,337890,272143,158536
200195,156624,199197,156619,272143,235230
200196,272143,198659,182394,64329,224658
200197,272143,48403,20691,59057,31836
200198,336254,272143,64329,218028,273461
200199,234051,189524,42356,42951,39750
200200,234698,58606,289126,160132,257291
200201,158536,272143,64329,156624,123757
200202,237524,276970,168623,95972,324823
200203,272143,336223,286321,293513,336221
200204,64329,198659,234267,166581,234698
200205,156560,336245,199198,96210,235870
200206,300263,64329,156964,299945,199197
200207,43080,73271,309366,64842,95716
200208,159354,289003,237524,57966,96210
200209,36161,156560,124350,2303,272143
200210,211484,209236,210798,167172,218028
200211,293050,199198,331737,321369,137697
200212,123826,124350,123289,124748,123564
200213,17889,87188,236951,85907,209013
200214,164141,162655,286161,158536,30003
200215,336380,129434,336221,272218,301030
200216,301015,111210,276970,123909,354086
200217,300529,300128,299369,335173,298524
200218,136145,137645,235616,277491,234267
200219,47960,202355,47786,149879,338350
200220,286161,161602,235230,236207,338350
200221,272143,175040,166581,199198,218337
200222,183176,160940,158906,50864,96755
200223,208237,235230,62434,208473,206934
200224,199198,64329,175040,166581,313431
200225,324823,272143,299767,300755,348111
200226,36855,36329,107301,36349,272803
200227,199197,70646,272143,284547,156560
200228,336220,235616,95716,300082,64329
200229,336220,199197,29840,20691,69778
200230,157078,158536,160417,233717,207786
200231,158536,162655,218337,64329,160974
200232,324823,272143,299767,300755,348111
200233,336220,20691,128260,289003,31520
200234,58580,225010,348111,236566,313920
200235,87569,87576,28900,20691,336245
200236,320891,321784,156560,320694,320992
200237,123290,124352,48403,31836,133160
200238,199198,166581,324823,198659,160132
200239,162655,158536,160974,168623,276970
200240,160417,156624,156619,162655,64329
200241,129596,127852,127574,250604,129862
200242,34305,270225,124350,283392,272689
200243,123818,124228,123290,124352,124748
200244,175040,199198,166581,324823,199197
200245,202652,289003,313454,202381,207603
200246,336220,336221,234269,234267,29953
200247,272143,198659,182394,64329,224658
200248,198659,199198,64329,166581,324823
200249,198659,199198,64329,336476,264771
200250,84020,64329,324823,199198,198659
200251,272143,158536,218337,199198,166581
200252,331116,283009,235870,123290,216191
200253,272143,64329,198659,166581,224658
200254,95716,156560,235870,119193,48403
200255,20691,336245,123818,124350,123757
200256,160974,199198,166581,156560,198659
200257,166581,119193,336221,48403,123909
200258,235854,235616,337192,277492,199198
200259,95716,234698,48403,59057,31836
200260,337873,58939,166958,337624,338093
200261,284547,234698,336221,95716,81975
200262,284547,285342,285648,107205,285343
200263,233717,166581,336245,288440,198659
200264,293301,214800,300263,58606,159762
200265,160417,158536,300470,272143,199198
200266,158536,272143,160974,234698,156619
200267,336254,214800,158536,160417,162655
200268,158536,162655,64329,156560,320607
200269,300486,42392,119219,220139,114089
200270,156560,162765,156447,337890,272143
200271,156560,214709,20691,198659,199198
200272,95716,235870,235616,48403,336220
200273,272143,198659,156560,182394,64329
200274,160974,160417,158536,199198,272143
200275,198659,64329,166581,95716,234698
200276,123757,123290,208539,156560,293301
200277,336245,288440,327118,313242,70999
200278,257291,289126,234698,285719,133160
200279,156560,293050,64329,199198,313431
200280,88571,83733,156560,158536,141004
200281,336221,20691,235870,160974,336245
200282,324621,31836,48403,216047,119193
200283,156560,336476,162765,337890,348111
200284,272143,64329,199197,286161,214709
200285,293301,199197,336254,234698,156654
200286,124748,123289,95716,64329,336245
200287,50863,159762,289126,233717,238880
200288,156560,162765,337890,300470,160974
200289,199198,336223,324823,288320,166581
200290,336254,161801,355943,159938,156654
200291,36161,2303,36129,36335,35908
200292,199197,235230,313431,284547,236065
200293,156560,199198,198659,199197,36161
200294,156560,160417,158536,272143,42761
200295,64329,336100,124748,239140,234698
200296,160974,160417,156560,182513,158536
200297,48972,283123,283592,160473,156560
200298,123818,123290,235870,124352,168623
200299,123289,123290,124352,123757,272143
200300,272143,199198,224658,182394,166581
200301,124352,123290,124748,284985,336221
200302,234698,336221,234267,235854,300082
200303,111556,233717,235870,95716,289126
200304,277491,157078,198659,87224,64329
200305,293114,198659,199198,123826,156560
200306,313242,198659,199198,64329,156560
200307,199197,235230,50494,313431,156624
200308,182513,336476,348134,272143,284474
200309,199198,202636,198659,36161,64329
200310,156560,162765,337890,272143,158536
200311,198659,64329,199198,175040,161506
200312,48972,283592,160473,205052,285648
200313,272143,64329,198659,331116,166581
200314,158536,162655,218337,64329,160974
200315,235870,336221,300082,293050,156159
200316,58580,336476,236566,313920,182513
200317,336221,156560,199198,235870,156964
200318,198659,199198,64329,106821,166581
200319,124350,123757,123290,156560,124352
200320,358109,293301,337192,159762,277492
200321,272143,198659,182394,64329,224658
200322,235230,199197,206168,61375,157078
200323,235870,95716,293050,336254,156964
200324,158536,162655,218337,64329,160974
200325,166583,166585,164013,166228,255543
200326,166581,198659,324823,162655,224658
200327,289090,64329,198659,166581,224658
200328,199198,175040,166581,286321,324823
200329,198659,199198,64329,156560,166581
200330,198659,324823,199198,64329,166581
200331,300263,277491,236951,234267,199198
200332,235616,336476,234698,199197,336221
200333,288548,156625,233717,271677,31097
200334,59057,31836,199197,336221,271261
200335,96210,351876,353593,156560,349833
200336,25325,168623,161425,36161,124228
200337,156560,162765,337890,272143,158536
200338,181674,184292,181914,42185,182274
200339,236917,237142,244621,272996,293513
200340,313434,70195,118167,303514,354771
200341,113369,156654,293301,224013,327478
200342,272143,234698,123909,336221,96210
200343,234698,95716,336223,156560,197151
200344,124748,123289,124228,124350,214576
200345,50864,50715,50383,68577,61582
200346,354086,337192,160974,336220,284096
200347,48972,47696,47988,48063,48337
200348,336245,288440,57757,59045,337441
200349,336223,288440,119534,95716,235870
200350,156560,64329,162655,289126,218337
200351,57966,289003,157478,198659,97530
200352,234698,237524,95716,235870,235854
200353,158536,64329,156624,162655,272143
200354,286161,313431,235230,129029,271551
200355,283009,336221,320255,331116,300082
200356,96210,199198,20691,198659,133160
200357,96481,96960,96029,95743,95756
200358,289090,198659,64329,166581,277491
200359,20691,336223,7751,175040,123818
200360,160417,156560,293301,358109,272143
200361,336476,348111,233917,178306,237443
200362,95716,235616,123757,300082,156964
200363,64329,272143,324823,199198,166581
200364,156381,198659,199198,64329,166581
200365,123289,124748,124350,124177,124228
200366,156560,162765,337890,272143,158536
200367,245702,48403,202355,299131,119193
200368,336221,208582,285719,336223,108855
200369,123818,124352,96210,123757,199198
200370,95716,234698,284547,235870,315105
200371,199197,272143,156619,235230,158536
200372,158536,64329,199198,160974,156624
200373,313454,156624,199197,156619,272143
200374,199197,156560,206934,206168,202493
200375,336221,57173,235616,277491,64329
200376,289417,289433,277079,159762,277302
200377,198659,199198,64329,166581,324823
200378,106819,106200,50864,156560,201775
200379,289090,111043,293513,215993,234269
200380,293301,336220,156654,293114,289126
200381,129825,197151,289126,172576,215861
200382,336476,348111,233917,178306,237443
200383,64329,198659,166581,224658,324823
200384,235870,293301,95716,156964,336254
200385,123290,124352,123289,124748,123909
200386,272143,156560,158536,160417,175040
200387,293301,276946,156560,285719,157078
200388,156560,158536,293114,123826,156447
200389,118986,272143,88702,198659,182394
200390,15949,14868,16132,16035,14030
200391,50864,156560,162765,337890,272143
200392,15226,272143,187067,175040,166581
200393,319892,20691,336245,183176,158536
200394,336221,272143,156964,199198,214631
200395,336220,288320,133160,336223,272143
200396,336221,95716,48403,336476,234698
200397,199197,156624,158536,272143,284547
200398,288320,303180,161506,123757,95977
200399,166583,166585,164013,166228,255543
200400,321612,284136,328066,66346,65896
200401,156560,50864,264771,160417,272143
200402,64329,198659,199198,324823,175040
200403,39782,336221,336223,234698,283123
200404,336245,289090,288440,119193,336221
200405,199198,166581,175040,156560,160417
200406,235854,199198,289090,277492,128260
200407,160974,160417,158536,199198,272143
200408,96210,336221,288440,234698,235870
200409,158536,162655,64329,156560,107151
200410,41873,234698,39960,41550,156560
200411,357838,157078,272143,119534,336220
200412,136438,42835,199197,133807,146188
200413,272143,156560,286161,235230,129029
200414,235230,235870,336245,313431,288440
200415,272143,95716,64329,234698,198659
200416,166560,42835,200902,352063,339812
200417,158536,162655,303292,301805,218337
200418,198659,199198,64329,166581,324823
200419,327806,328222,327118,336221,4227
200420,59057,31836,303180,160132,198659
200421,32082,160417,272143,233717,156560
200422,336221,119193,48403,271261,272143
200423,159762,156560,160417,289126,285719
200424,286336,234051,189524,42356,283552
200425,20691,336245,66672,271262,199197
200426,95716,293301,235870,189932,119193
200427,113983,123909,156560,158536,62464
200428,64329,95716,234698,199197,283009
200429,91392,96605,91390,95724,97459
200430,119193,158536,156560,336221,95716
200431,156560,198659,199198,199197,64329
200432,224855,225653,225374,156964,64346
200433,234698,336223,233478,214800,211863
200434,233717,289126,300263,48403,59057
200435,199198,175040,166581,324823,156560
200436,123290,123818,124352,124749,276970
200437,129121,264771,240233,21277,161506
200438,199197,123289,214709,293050,64329
200439,156624,199197,156619,272143,235230
200440,234698,293114,95716,64329,96755
200441,123757,123290,124352,124350,276970
200442,50864,50715,50383,68577,61582
200443,272143,199198,166581,324823,293114
200444,198659,199198,64329,166581,324823
200445,336221,235870,156964,288320,156560
200446,20691,272143,158882,245161,288440
200447,272143,198659,182394,64329,224658
200448,199198,128957,293050,32082,331737
200449,70646,156560,199197,209236,218028
200450,199197,336221,336220,234698,159762
200451,233778,70646,66206,284272,69736
200452,166581,199197,175040,336245,20691
200453,235870,235616,95716,156964,300082
200454,181585,111043,167172,128260,233688
200455,324823,272143,299767,300755,348111
200456,156560,153463,158536,288320,160417
200457,168623,64329,162655,156560,283009
200458,123757,336245,20691,234698,136629
200459,95716,300082,156964,214631,315105
200460,156624,199197,156619,272143,235230
200461,156624,199197,156619,272143,235230
200462,96210,20691,336223,198659,199198
200463,166581,175040,198659,162655,324823
200464,234698,336223,123818,271261,315105
200465,64329,198659,336221,166581,234698
200466,272143,234698,123909,336221,96210
200467,271887,220526,273203,272934,271919
200468,336476,348111,233917,178306,237443
200469,61994,69597,353012,83890,206568
200470,59057,31836,159762,313920,225010
200471,288320,336223,31836,141004,48403
200472,272143,199198,166581,324823,336380
200473,336221,95716,119193,183176,233717
200474,234698,199198,156560,156964,300082
200475,199197,64329,198659,156619,199198
200476,157078,161506,272143,64329,156560
200477,198659,64329,166581,175040,324823
200478,336221,272143,336254,283009,199197
200479,124748,313431,233717,284547,235230
200480,198659,58580,25325,64329,168623
200481,67021,336476,182513,236961,348111
200482,121414,141057,141054,120960,122117
200483,288320,59057,237524,199197,235870
200484,336476,199197,206934,235230,70646
200485,336221,235870,324823,198659,64329
200486,272143,198659,182394,64329,224658
200487,123818,161801,124228,272143,123290
200488,156560,162765,337890,272143,158536
200489,336221,235870,331738,336476,156964
200490,50715,50713,207731,225010,207757
200491,234698,199197,235616,168623,236207
200492,234698,160974,64409,199198,160417
200493,168623,237524,156560,158536,236207
200494,59057,124350,123757,124748,123290
200495,91298,93371,199198,156560,233717
200496,283009,157478,39894,331116,156964
200497,64329,160417,199197,156619,162655
200498,235870,336223,133160,235616,315105
200499,199197,95716,234698,284547,313431
200500,224658,64329,166581,338340,336245
200501,64329,129434,199198,214709,198659
200502,156624,199197,156619,272143,235230
200503,124748,124350,199198,124177,288440
200504,87231,64329,199198,161506,162655
200505,289090,95716,235870,235616,199198
200506,286321,271921,289386,198659,199198
200507,293114,158536,284985,160417,123826
200508,234698,336221,168623,276970,95716
200509,159762,289126,161602,235616,214800
200510,272143,198659,182394,64329,224658
200511,124748,284547,218028,123757,331738
200512,234698,336223,271261,315105,324823
200513,300473,234698,95716,4789,235870
200514,272143,285648,182513,336476,175040
200515,158536,162655,218337,64329,160974
200516,293050,124176,124350,324823,123290
200517,20691,124350,31520,331737,123290
200518,234698,198659,29953,64329,162655
200519,161506,284547,156560,235525,191895
200520,156560,158536,214800,156447,272143
200521,272143,158536,235230,313431,156447
200522,199198,198659,182394,272143,284901
200523,254786,255875,254491,255667,254899
200524,336221,119193,289090,48403,271261
200525,272143,20691,166581,288440,129434
200526,199198,198659,111043,233688,64329
200527,47999,47696,93629,48016,47728
200528,289090,235616,106630,84451,277491
200529,96210,198659,288440,234698,168623
200530,166583,166585,164013,166228,255543
200531,348093,331116,286161,209236,156560
200532,62464,162655,198659,31520,84683
200533,198659,199198,64329,166581,324823
200534,156560,158536,156447,272143,161100
200535,233717,284452,276946,42873,348111
200536,272143,158536,160417,175040,156624
200537,156560,285719,286161,235230,257291
200538,31836,133160,156964,95716,48403
200539,206627,71298,29953,234698,202388
200540,124177,95716,124194,124228,235870
200541,156560,199198,175040,166581,236207
200542,338340,124350,224355,224354,225678
200543,358109,42560,42004,211561,40098
200544,199198,64329,198659,288398,50715
200545,272143,158536,160417,175040,235230
200546,284547,20691,336245,199197,348111
200547,158536,162655,218337,64329,160974
200548,255007,256026,254736,159762,255789
200549,199197,272143,156619,235230,158536
200550,285343,278312,286161,284547,120532
200551,336220,234698,156560,234269,234267
200552,289090,272143,284985,277492,159762
200553,198659,234698,202652,206735,313920
200554,123482,123659,123665,168623,123365
200555,289090,272143,336223,158536,303180
200556,156560,160417,293301,286321,271921
200557,184018,181583,182253,184007,184205
200558,123290,123818,124352,336221,235616
200559,36161,2303,272143,156560,36129
200560,286394,156560,158536,139970,336254
200561,156560,198659,199198,199197,64329
200562,324823,64329,124177,175040,198659
200563,199197,270607,327118,96210,286161
200564,124176,336245,174300,124748,123909
200565,166581,198659,324823,276970,162655
200566,199198,166581,272218,156560,198659
200567,234698,336221,123757,235870,48737
200568,168623,293301,156560,158536,285719
200569,156560,162765,337890,272143,158536
200570,156560,288320,160417,30611,218337
200571,275343,209236,336748,218028,276741
200572,59057,183176,272143,95716,235870
200573,336220,195549,284452,234267,337192
200574,123818,124228,129434,336221,160417
200575,214021,293301,156654,64329,199197
200576,64409,87174,199197,234698,264771
200577,199197,284547,206934,70646,313431
200578,272143,198659,156560,182394,64329
200579,58580,277067,225010,157078,283764
200580,272143,96755,175040,166581,336221
200581,198659,199198,64329,166581,324823
200582,234698,336221,313431,235870,336223
200583,50864,50715,50383,68577,61582
200584,133260,234698,286161,111043,199197
200585,234698,289090,198659,64329,235616
200586,160417,156560,123818,123290,124748
200587,64329,198659,208582,163467,156560
200588,198659,64329,166581,175040,182394
200589,20691,64329,336245,199198,336221
200590,64329,166581,224658,182394,271262
200591,95716,119193,31836,235616,20691
200592,20691,336245,156560,336476,288440
200593,336245,199198,20691,64329,199197
200594,157078,124748,324823,198659,64329
200595,202355,202493,276970,336220,236207
200596,96210,300082,233717,336223,29953
200597,124350,124748,123290,123826,338340
200598,158536,211863,272143,160974,156624
200599,198659,64329,166581,124177,162655
200600,205899,208157,98853,117795,106015
200601,36161,336476,2303,348111,36129
200602,198659,199198,64329,166581,324823
200603,277491,234267,197151,199198,235616
200604,234698,48403,289090,235616,119193
200605,198659,199198,64329,166581,324823
200606,199198,266020,175040,166581,44910
200607,156560,199197,199198,123818,124228
200608,20691,336221,235870,156964,218654
200609,235854,272143,337192,284096,156624
200610,272143,199198,166581,324823,218337
200611,272143,175040,166581,199198,218337
200612,156560,162765,337890,272143,158536
200613,183176,156625,25325,352979,284339
200614,156560,214800,233478,160132,111210
200615,156560,336221,198659,199198,199197
200616,233688,199197,286161,96210,214709
200617,234698,95716,235870,124748,48403
200618,198659,36855,199198,273157,36329
200619,64329,199197,198659,199198,156624
200620,198659,199198,64329,166581,324823
200621,324823,272143,299767,300755,348111
200622,293301,156654,284452,233717,158536
200623,123818,123290,124352,336223,336220
200624,272143,284547,175040,199197,64329
200625,156560,158536,156447,272143,162655
200626,31836,235616,133160,59057,236951
200627,237426,199938,70008,61393,203890
200628,336220,336245,289090,354086,288440
200629,199198,25325,166581,156560,198659
200630,96210,161801,288440,324823,276970
200631,20691,233717,168623,166571,293301
200632,300263,299945,214800,58606,348112
200633,123290,123757,124352,95716,124748
200634,235870,199198,211863,175040,166581
200635,166581,175040,198659,162655,324823
200636,119193,20691,336245,59057,31836
200637,156560,158536,326936,336380,87179
200638,57748,96210,199198,198659,20691
200639,158536,199197,300263,64329,199198
200640,158536,162655,218337,64329,160974
200641,50864,156560,107301,162765,337890
200642,237870,187005,195773,191971,314048
200643,199197,288435,83565,235854,235230
200644,288440,202355,95716,336223,64329
200645,64329,145099,199198,70556,145423
200646,156560,162765,337890,272143,158536
200647,96210,235870,348112,95716,156560
200648,272143,62464,156560,158536,160417
200649,202493,198659,199198,208539,64329
200650,175040,198659,166581,277491,234267
200651,111043,293114,156560,158536,234698
200652,158536,156560,160974,284985,162655
200653,96210,272143,199198,168623,166581
200654,207994,124748,284547,198659,214800
200655,65024,66326,307856,68030,42422
200656,174392,172962,169000,172226,157078
200657,198659,199198,336380,64329,31520
200658,166581,175040,198659,336223,124350
200659,49246,35785,168681,160132,58606
200660,124352,123289,124177,124350,236951
200661,156560,162765,337890,272143,158536
200662,156560,234698,313431,331116,39894
200663,218028,73392,272143,235715,202355
200664,158536,64329,199197,156624,48403
200665,96244,236610,96210,198659,20691
200666,217681,352555,219008,220546,261612
200667,272143,199198,166581,324823,208145
200668,336221,272143,156964,64329,214631
200669,157079,70737,50864,157732,161409
200670,195414,257100,156560,195978,185475
200671,336221,199197,59057,336220,31836
200672,336220,336221,235616,234267,337192
200673,124748,123818,123290,124352,124228
200674,336221,208531,235870,235230,156964
200675,272143,175040,166581,62464,162655
200676,64329,198659,199198,162655,199078
200677,160974,160417,158536,199198,272143
200678,199198,64329,198659,237870,255473
200679,236370,236356,236368,233717,234991
200680,182513,336476,348134,272143,284474
200681,336223,234698,284422,271261,142528
200682,156560,199197,272143,156654,293301
200683,272143,276970,64329,198659,123909
200684,234698,124350,95716,123290,124352
200685,300263,293301,58606,299945,236207
200686,91362,62667,95743,97585,96481
200687,199198,166581,156560,324823,236207
200688,50864,129434,272218,198199,331116
200689,50864,156560,325272,74702,167006
200690,95716,234698,123289,315105,124748
200691,123290,123818,73271,156560,73500
200692,123757,320720,320398,320503,320788
200693,336220,289090,235854,157078,337192
200694,156560,158536,5632,59057,70428
200695,293114,313431,95977,284547,58891
200696,20691,336245,156560,199198,175040
200697,336221,20691,183176,336245,283505
200698,156560,64329,133160,303180,31836
200699,272143,198659,182394,64329,224658
200700,166581,175040,198659,160417,158536
200701,277107,157478,352979,32082,97530
200702,313431,187065,129029,235230,284547
200703,166581,235870,198659,293301,214800
200704,293050,96755,293591,70999,293273
200705,199198,64329,175040,336380,224658
200706,272143,324823,199198,336476,166581
200707,199198,175040,166581,48500,324823
200708,123289,235616,336220,199198,156560
200709,123818,124352,123757,272143,123289
200710,275192,275190,275189,336476,278808
200711,199198,175040,166581,324823,156560
200712,156560,160417,162765,158536,156619
200713,95716,48403,119193,270229,234698
200714,289090,168623,276970,20691,277492
200715,64329,289126,199198,319653,285719
200716,293114,315088,233717,284452,293530
200717,64329,199198,198659,324823,166581
200718,235870,199197,236338,31836,95716
200719,3241,3464,2197,4715,4578
200720,30315,336221,235870,31409,272143
200721,123818,123290,124748,124228,211863
200722,198659,199198,64329,156560,166581
200723,305017,29436,180862,303484,303912
200724,20691,336245,74230,233658,129086
200725,288440,289090,272143,316407,234267
200726,156560,162765,337890,272143,158536
200727,64329,199197,48403,293301,119193
200728,257291,336221,289126,235870,156964
200729,158536,313431,199198,162655,284547
200730,198659,64329,166581,175040,198144
200731,272143,234698,123909,336221,96210
200732,158536,162655,218337,64329,160974
200733,235230,336223,313431,156560,285342
200734,64329,198659,234267,166581,277491
200735,336220,95716,48403,119193,337192
200736,195746,195217,181837,182575,182499
200737,272143,166581,224658,324823,182394
200738,336221,156964,235870,236951,352979
200739,156560,157441,160417,158536,156447
200740,156560,158536,156447,272143,162655
200741,50864,50715,50383,68577,61582
200742,234698,95716,272143,175040,300082
200743,156560,162765,337890,272143,158536
200744,156560,162765,337890,272143,158536
200745,336476,348111,233917,178306,237443
200746,158536,199197,160417,162655,64329
200747,156560,160417,162765,158536,156619
200748,64329,162655,199197,348112,156619
200749,166581,198659,175040,156560,324823
200750,348456,35665,85313,348458,234571
200751,42761,67185,211561,42873,313431
200752,162655,202355,64329,199197,158536
200753,234698,199197,284547,64329,235870
200754,95716,96210,20691,235870,331116
200755,158536,162655,218337,64329,160974
200756,357838,168619,199197,272143,156619
200757,95716,235870,336223,300082,324823
200758,20691,272143,64329,198659,293513
200759,96481,96960,96029,95743,95756
200760,64329,272143,324823,199198,166581
200761,123818,123290,124352,124350,235870
200762,201888,201750,67021,233541,324509
200763,123289,124177,124350,124228,123909
200764,160417,272143,234698,123289,156619
200765,199198,175040,166581,198659,324823
200766,271262,156654,156624,235230,293301
200767,123757,123290,124352,234698,95716
200768,226390,199032,336221,199940,226391
200769,48403,301015,237524,119193,59057
200770,108855,50864,50569,286321,123909
200771,50864,50715,50383,68577,61582
200772,57757,57576,57250,57545,202322
200773,160417,156619,156624,272143,211561
200774,124748,124350,124177,199198,64329
